…………あの？　どうかしたんですか？= …………那？怎么了？
…………違うことが、したくなったんですか？= …………您想做些不同的事情吗？
もう限界です……私、我慢できませんからぁ= 已经是我的极限了……受不了了 
もう限界ですか？　いいですよ、思い切り射精して下さい= 你在你的极限吗？没关系，请尽量射精
もちろん、私も大丈夫です= 当然我也很好 
もちろんです、一緒に感じ合いましょう= 当然是一起感受下
もっ……こぇいじょぅわ……もう、むいれふ……\n（これ以上は、もう無理です）= 嗯...这太糟糕了...我很抱歉...\n（我不能再这样做了）
もっと……気持ち良くなりたいで……= 我想感觉好点...
もっと、いい感じにしますからね= 我会让你感觉更好 
もっと、もっと続けたいです、いいですか？= 我想继续更多，更多，好吗？
もっと、痛くしてもいいですよ= 伤多了也没关系 
もっと、私の動きを感じて欲しいです= 我想让你多感受一下我的动作
もっと、続けていいですか？= 我可以继续吗？
もっと強く……擦り付けて下さい= 请擦得更用力
もっと見たいんですね、いっぱいいやらしくします= 我想看更多，我会做很多调皮
もっほ……いっひょにうおひまひょうっ（もっと、一緒に動きましょう）= Mooho……一起动起来吧
もっほ、ひた、からめあいまひょうぉっ\n（もっと、舌、絡め合いましょう）= Moho, Hita, 缠绕在一起\n(让我们缠绕更多的舌头)
やしゅみたいれす……(休みたいです)= Yasumi Rest……（我要休息）
やっぱりいくときは、みんな一緒がいいですね= 毕竟去的时候大家应该都在一起
やっぱりみんなでいくのは気持ちいいですね= 毕竟和大家一起去的感觉还是不错的
やっぱり二人がかりは気持ちいいですか？= 毕竟，你们两个舒服吗？
やっぱり何度いっても、一緒がいいですね= 毕竟不管说多少次，在一起就好了
やっぱり同時にいけると、最高に気持ちいいですね= 毕竟能同时去的感觉真好
やっぱり濃い味ですね……= 毕竟味道重啊。。。
やらしい音が、どんどん響いてきてますよ= 越来越难听的声音回荡
ゆっくり……攻めていきますね= 慢慢来……我来攻
ゆっくり……時間を使って楽しんでもらいますから= 放轻松......我会用我的时间来玩得开心）
ゆっくり、たっぷりと、感じさせてあげますから= 我会让你慢慢地充分感受它 
ゆっくり、楽しんで下さいね= 慢慢来享受吧
ゆっくりされるの……いいです……= 慢点没关系...
ゆっふり……なめあいまひょうね（ゆっくり、舐め合いましょうね）= Yufuri …舔爱马贤（让我们慢慢舔对方）
よろしくお願いします= 最好的问候 
らいじょうぶ、れすから……(大丈夫ですから)= 没关系，Resukara...（因为没关系）
らしたから……おありれすよれ……？\n(出したから、終わりですよね？)= 我明白了……谢谢……？\n
らめなのに、イッちゃいそうれすぅ……= 虽然很烂，但还是很不错的......
らめれふぅ……わらひ、こはれはいまふぅ\n（ダメです、私、壊れちゃいますぅ）= Ramerefuu…… Warahi，Kohare fuu \n（不，我要崩溃了）
れぉ、ひたのうおき、ほんなかんひれいいれふか？\n（舌の動き、こんな感じでいいですか？）= 你真的快乐吗？\n（舌头运动，这样可以吗？）
れぉっ、らくさん、かんひてくらはいね……\n（たくさん、感じて下さいね）= Reo，Rakusan，Kanhite 多少钱... \n（请多多感受）
れきれば……おはりにひてくらはい……\n（できれば……終わりにして下さい）= 如果可以的话……要上梁多少……\n（如果可以的话……请完成）
れきれば、はあく、しゃへいひてくらはいぃ\n（できれば、早く、射精して下さい）= 如果你能做到，没关系，对不起\n（如果可以，请尽快射精）
れちゅ、ふふらんれきへまふよ、きもひいんれふね？\n（膨らんできてますよ、気持ちいいんですね？）= Rechu，fufuran reki humafuyo，来吧，来吧？\n
れちゅ、わらひのひられ……かんひへるんれふか？\n（私の舌で、感じてるんですか？）= Rechu、Warahi no Hirare……Kanhi Herun Refu？\n（你能用我的舌头感受一下吗？）
れちゅっ、いひそうなら……があんひないれくらはいね\n（イキそうなら、我慢しないで下さいね）= Rechu，如果那是你的想法......但它并不多\n
れぢゅっ、らえひがあふれへ……ふひひなあひがひまふ……\n（唾液が溢れて、不思議な味がします）= Rejyu，raehi 溢出来了……fuhihinahigahimafu……\n
ろうじはらめなんれす……(同時はダメなんです)= Roujiharamensu...（不允许同时使用）
ろうぞ……たっふりしゃへいひへくらはいっ（どうぞ、たっぷり射精して下さい）= 走吧...继续射精吧
わぁし、もうイっちゃいまふ、きしゅしながぁ、しゅごいれふぅっ\n（私、もうイっちゃいます、キスしながら、すごいですぅ）= 哇，我已经高潮了，kishushinagaa，shugoirefuu~\n
わかりました= 好的
わかりました……またご奉仕しますね= 好的...我会再次为您服务
わかりました、この調子で続けましょう= 好的，让我们继续下去
わかりました、続けましょう= 好吧，我们继续
わらしらちは、ちゅはれへきまひた（私達は、疲れて来ました）= Warashirachi chuhare heki mahita(累)
わらひ、きしゅしながぁ、いひそうになっへまふぅ……\n（私、キスしながらイキそうになってます）= Warahi，kishushinagaa，我好累... \n（我在接吻时变得兴奋）
わらひ、もういっひゃいまふぅっ（私もうイッちゃいますぅ）= Warahi，我已经在哼唱了（我已经高潮了）
わらひぃ……きしゅひたまま、いっひゃいまふぅ（私、キスしたまま、いっちゃいます）= warahii……kishuhitama, ikhyaiimafuu（我要一边接吻一边说）
わらひのおくひのあたたかは……ゆっふりつたへたいれふ\n（私のお口の暖かさ、ゆっくり伝えたいです）= Warahi no Okuhi 的温暖是... Yururi Tsutahe Taifu\n（我想慢慢传达我嘴里的温暖）
わらひのおひり……いまどうなってまふか……？\n（私のお尻、今どうなってますか？）= Warahi no Oiri ......现在发生了什么......？\n（我的屁股现在怎么了？）
わらひのひたとむにぇ……ろっちがきもひいいれふは？（私の舌と胸、どっちが気持ちいいですか？）= Warahi no Hitomuni... Rocchi Gakimo 嗨 Irefu？（你觉得哪个更好，我的舌头还是我的胸部？） 
わらひも……かんひへきへまふぅ（私も、感じてきてますぅ）= Starahimo……kanhihekihemafuu（我也觉得）
ん……こぇいりょうは……もう、おかひくなっひゃいまふ……\n（これ以上はもう、おかしくなっちゃいます）= 嗯……我要疯了……我现在要疯了……\n
ん……しゅこひは……はぁげん……ひてくらはい……（少しは加減、して下さい……）= 嗯……Shukohi ha……Haagen……Hitekura hai……（请稍微调整一下……）
ん……そんな感じで、いいんじゃないでしょうか= 嗯...这样的感觉不是很好
ん……わぁし、うごけまへん……（私、動けません……）= 嗯……哇，我动不了了……（我动不了了……）
ん……アナタの精液……湯気が見えるほど熱いです……= 嗯……你的精液……热到你能看到蒸汽……
ん……優しくて、いい感じです= 嗯...你很善良很好
ん、あおが……きついれふね（顎が、キツイですね）= 嗯，Aoga...它很紧身（你的下巴很紧）
ん、感じてしまいます……= 嗯，我能感觉到...
ん、激しいのも……感じますから= 嗯，很激烈……我能感觉到
んぁ、お尻、拡がってます……= 嗯，我的屁股在膨胀……
んぁ、もう、まっひろれふ……（もう、真っ白です）= 嗯，已经是真白了……（已经白了）
んぁぁ、お尻で、アナタの指、きつく、締め付けてますからぁっ= 嗯嗯，我在用臀部收紧你的手指
んぁぁ、お尻の中が、すごくっ……熱くなってますぅっ= 嗯嗯，我的屁股里面好烫啊。。。越来越烫
んぁぁ、お尻の中が沢山擦られてぇっ、気持ちいいですぅっ= 嗯嗯，屁股里面擦了很多，感觉不错
んぁぁ、アナタのが中で、強く、動き回ってますぅっ= 嗯，你在里面，强壮的，四处走动
んぁぁっ、こんなになるなんて……わ、私、おかしくなりますぅっ= 嗯，真不敢相信会变成这样……我快疯了
んぁぁっ、わぁしのおしぃ、ろうにかなっひゃいまふぅっ\n（私のお尻、どうにかなっちゃいますぅ）= 嗯嗯，对不起，对不起\n（我的屁股会好起来的）
んぁぁっ、私イきそうですっ、長くは持ちませんっ……= 嗯嗯，我要射了，我撑不了多久了... 
んぁっ、いい、すごくいいですっ、私、またイキそうですぅ= 太棒了，真的太棒了，我想我会再住一次
んぁっ、そこっ、気持ちいいです、あぁっ、感じますっ= 嗯，那里，感觉不错，啊，我感觉到了
んぁっ、アナタの舌、すごくいやらしいですね= 嗯嗯，你的舌头真讨厌
んぁっ、アナタの舌が……私のお尻で、激しく動いてますぅっ= 嗯嗯，你的舌头在我的屁股上……猛烈地动着
んぁっ、私また、イキそうになってますぅ……もう、限界ですからぁっ……= 嗯，我又要高潮了……我已经到极限了……
んぁっ、胸が、揉まれる度に、息が上がって来ますぅっ= 嗯，每次揉我的胸口，我的呼吸都会上升
んぁっ、舌が、そんなに激しく……アナタってすごいですっ= 嗯嗯，你的舌头好猛……你好厉害
んぁー、おひぃがぁ、へんににゃっへきへまふぅっ\n（お尻が、変になって来てます）= 嗯，Oohigaa，很奇怪，很奇怪\n（我的屁股越来越奇怪了）
んぁー、わらひ……まら、ぬれひゃってまふね……\n（私、まだ、濡れちゃってますね）= 嗯，Warahi...好吧，我湿了...\n（我还是湿的，不是吗？）
んあっ、あふいれふ……（熱いです）= 啊，阿芙蕾芙……（好热）
んぃぃっ、おひぃ、もう…こわへひゃいそうれしゅぅ\n（お尻、もう…壊れちゃいそうです）= 我很害怕，我很害怕\n
んいぃっ、お尻いいですぅっ、もっと、沢山感じさせて下さいぃっ= 嘿，我的屁股很好，请让我感觉越来越多
んぅ……お尻に、入ってます= 嗯...它在我的屁股里
んぅ……お尻の中で、まだアナタが動いている感覚がします……= 嗯...我仍然能感觉到你在我屁股里动...
んぅ、お尻、火傷するかと思いました……= 嗯，我以为我的屁股要被烫伤了……
んぅ、じゅっろはいえひ……れちゅじゅけへまふぅ……\n（ずっと愛液、出続けてます）= 嗯，Jurro haiehi...Rechujuke Hemafuu...\n（爱汁一直流出来）
んぅ、アナタの熱い舌で、私のお尻、めちゃくちゃにして下さいっ= 嗯，用你的舌头，请把我的屁股搞砸
んぅ、感じすぎて、すぐに濡れてきちゃいます……はぁ= 嗯嗯，感觉好到马上就湿了……haa
んぅっ……トイレでこの感覚を思い出したら、危険な気がしますね……= 嗯...如果我记得在浴室里的这种感觉，我觉得很危险... 
んぅっ、お尻が、たくさん感じてますぅ……= 嗯，我的屁股感觉很多... 
んぅっ、ゆっくぃれぉ、おひぃ、きふいれふぅ……\n（ゆっくりでも、お尻、きついです）= 嗯嗯，Yukkireo，Ohi，Kifuirefuu……\n（慢慢地，臀部紧绷）
んぅっ、気持ちいいです= 感觉不错
んぅっ、舌が、激しくて……愛液が、全然止まりませんっ= 嗯哼，我的舌头好暴力……爱汁根本停不下来
んぇ、はれへひまひたぁ……（垂れてきました……）= 嗯嗯，是时候消肿了...（滴滴滴...） 
んぇぇっ、からら、こわへしょうれふぅ（体、壊れそうです）= 我好害怕，我好害怕（我的身体好像要断了）
んぇっ、しゅこひ、えんぉひれぇくらはい……（少し遠慮して下さい……）= 嗯嗯嗯哼哼哼哼哼哼哼哼哼哼哼哼哼哼哼哼哼哼哼哼哼哼哼哼哼哼
んぐぅ、私、もうイきそうですっ= Nguu，我要射了
んちゅ、あなはのもの、もうはれふひほうれしゅよ\n（アナタのもの、もう破裂しそうですよ）= Nchu，你的已经膨胀了\n（你的快要爆了）
んちゅ、きしゅでかららがあふくなっへ……ふわふわひてきまふ\n（キスで体が熱くなって、ふわふわしてきます）= Nchu，我的皮肤越来越浮肿了... Fuwafuwa Hikimafu\n
んちゅ、このふぼんらとほろ、いっはいなめまふはらね……\n（このくぼんだ所、いっぱい舐めますからね）= Nchu，这个 fubonra 和 horo，对不起，名字叫 mafuhara ... \n（我会舔很多这个空洞的地方）
んちゅ、ゆっふりにゃめるの……たのひいれす……\n（ゆっくり舐めるの、楽しいです）= Nchu，你舔得很慢...Tanohiresu...\n（慢慢舔很有趣）
んちゅっ、ふぁ……かららが……あちゅくなっへきまふ……= Nchu，fah...空...achuh，来吧...
んちゅぷ、なんらか、もへへるくらい……まっはになっへまふね\n（何だか、燃えてるくらい真っ赤になってますね）= Nchup，出于某种原因，我几乎要晕倒了……我要疯了\n（不知怎么的，它在燃烧红色）
んぢゅ、ぁー、いひが、れきないくらいに、なっへきまひた……\n（息が、出来ないくらいになってきました）= Nju，啊，我好累...\n（我无法呼吸。） 
んぢゅ、むじゅかしぃれすけろ、たのひいれふよ\n（難しいですけど、楽しいですよ）= Nju, Mujukashii Lesukero, Tanohirefuyo\n（很难，但很有趣）
んぢゅ、むねもくひのなはも、あなはのものれ、いっぱいれふ\n（胸も口の中も、アナタのもので一杯です）= Nju，Munemoku Hinanohamo，你的，full refu\n（我的胸膛和嘴巴都满是你的）
んぢゅ、もっろきしゅしへぇ、ぢゅっ、ひたを、からめはいまひょうぉっ\n（もっとキスして、舌を、絡め合いましょう）= Nju, moroki shushihee, jyu, hita, karame ha hyoo~\n（让我们多接吻，舌头缠在一起）
んぢゅっ、あぁっ、したが、あちゅくて、かんじまふぅっ= Njyu啊
んぢゅぷ、しゅてきなおとを、いっぱいきかしぇへくらはいね\n（素敵な音を、いっぱい聞かせて下さいね）= Njyupu，请听很多声音\n（请让我听到很多美妙的声音）
んっ……一緒にイけたんですね……私達、相性いいんでしょうか……= 嗯...我们相处得很好...我们相处得好吗...
んっ、ぁっ、めがぁ……かしゅんれしまいまふぅ……\n（目が、霞んでしまいます）= 嗯，啊，我的眼镜……对不起……\n（我的眼睛有点朦胧）
んっ、いいです……この心地いいスピード感です……= 嗯，不错。。。这就是舒服的速度感。。。
んっ、いい感じです……はぁ、もっと揉み解して下さい……= 嗯，感觉不错。。。哈哈，多多理解。。。
んっ、これぐらいはどうですか？　弱すぎますか？= 嗯，这个怎么样？太弱？
んっ、すごいです……= 嗯，很厉害...
んっ、らめれふぅぅ（ダメです）= 嗯，蹩脚的拒绝（不好）
んっ、ん、たっぷり、時間をかけて動いて下さいぃ……= 嗯嗯，请大家多多走动……
んっ、アナタに揉まれたら……どんどん膨らんでいく気がします……= 嗯，要是被你揉了...感觉要肿起来了...
んっ、優しく舐められるのも……クセになりそうですっ……= 嗯，被轻轻舔也是会上瘾的……
んっ、最高に……気持ち良かったです……= 嗯，这是最好的……感觉很好……
んっ、舐められる度に、お尻がひく付いて……ゾクゾクします= 嗯，每次被舔的时候屁股都会抽动一下。。。我会发冷
んはぁ……もうかららが……さけひゃいしょうれふぅ（もう身体が裂けちゃいそうです）= 嗯……我的身体已经……Sakehyai Shorefuu（感觉身体快要炸裂了）
んはぁ……２本とも激しくて、体が浮いちゃいます= 嗯……两个都激烈到我的身体都飘起来了
んはぁっ、おしぃあちゅぃ、も、とけひゃいそうれしゅ\n（お尻熱い、もう、溶けちゃいそうです）= 嗯嗯，Oshiiachui也好热\n（屁股好热，快融化了）
んひぃ、もうらめ、わらひ、おかひくなっひゃいまふぅぅっ\n（もうダメ、私、おかしくなっちゃいますぅ）= Nhii，我很生气，我很生气，我要疯了\n(不要了，我要疯了)
んひぃっ、お尻の中が、激しく震えて……体が蕩けちゃいそうですぅっ…= Nhii，我的臀部在剧烈的颤抖着……我感觉我的身体都快要融化了……
んひっ、そんなに、強くしたら……私、おかしくなりそうですっ= 嗯，如果我变得那么强大……我会发疯的。
んぶっ、あぁぁ、はげひいきしゅれ、しゅごく、かんひてまふぅっ= hmbu, 啊, 秃头, 耸肩, kanhitemafu
んぶっ、おおひく、ふふらんれきへまふね……だしゅんれふか？\n（大きく膨らんで来てますね、出すんですか？）= 嗯嗯，ohhiku，fufuranreki hemafune……大顺热风？\n
んぷっ、もっろたくはんくわぇまふはら\n（もっと沢山咥えますから）= 嗯嗯，morotaku hankuwa mafuhara\n（因为我可以吃更多）
んむぅ……のろに、あはっへまふ（喉に当たってます）= 嗯……慢慢来，Ahahemafu（打我的喉咙）
んむっ、あなはの、あふくなっへまふね……\n（アナタの……熱くなってますね）= 嗯，你越来越浮肿了……\n（你的……你越来越热了）
んむっ、きふぅ……すきでしゅのに……（キス、好きですのに）= 嗯，kifuu...我喜欢你...（吻，我喜欢你）
んれ、もう、わらひのらえひまみれれふね\n（もう、私の唾液まみれですね）= 它已经被我的唾液覆盖了。
んれぉ、もっろなめまふから……たのひんれくらはい\n（もっと舐めますから……楽しんで下さい）= 我要舔它更多，所以请享受它。） 
んんぅっ、あなはわ……ちゅかれないんれふか……？\n（アナタは、疲れないんですか？）= 嗯，你……你忍不住……？\n（你不累吗？）
んんっ、お尻の中で、ものすごく震えてるますぅ、熱くなってきましたぁっ= 嗯，我的屁股抖得很厉害，越来越热了 
んんっ、かなり、頑張ってみてるんですが、どうでしょうか？= 嗯，我真的很努力，但你觉得呢？
んんっ、そんなに激しく動けるなんて……アナタってすごいですねっ= 嗯，能动的这么猛……厉害了
んんっ、どうですか、私のお尻は？　舐めるのは楽しいですか……？= 嗯，我的屁股呢？你喜欢舔...？
んんっ、ふはふ……はいっへまふ（深く入ってます）= 嗯，fuhafu……Hahihemafu（我很喜欢）
んんっ、また……限界です……自分の腰が、止められませんっ= 嗯，又来了。。。我的极限了。。腰停不下来
んんっ、アナタの舌で、私の愛液……全部、ぬぐい取って下さいぃっ……= 嗯，用你的舌头，我的爱汁……请把它全部擦掉……
んんっ、イカしゃれちゃいましゅ……= 嗯，这是鱿鱼的双关语... 
んんっ、乳首そんなにされたらぁ……絶対感じてしまいますからぁ……= 嗯嗯，如果我的乳头是那样的话……我肯定能感觉到……
んんっ、入ってます……= 嗯，它在... 
んんっ、小刻みに震えて、はぁっ、刺激されてますぅっ……= 嗯，我在一点一点的颤抖，啊，我被刺激了……
んんっ、感じ過ぎています……= 嗯，感觉过分了。。。
アソコが……すごく、敏感になってます= 我的鸡巴...它变得非常敏感 
アソコが……すごく、気持ち良かったです= 我的鸡巴……感觉真好
アナタがしたいなら、いいですよ= 如果你想做，那很好
アナタがイキそうになるタイミング、掴んできました= 我已经掌握了你要射的时机
アナタが出し精液……すごくトロトロですね……= 你吐出来的精液。。。很浓稠。。。
アナタが感じているのが伝わって……最高の気分です= 我能感受到你的感受......这是最好的感觉
アナタが楽しめるなら、問題ないですよ= 能享受就没问题
アナタが続けるなら……私も頑張って付き合います……= 如果你继续......我会尽力跟上你...... 
アナタが見たいのでしたら……わかりました= 想看的话……ok 
アナタって、すごく上手なんですね= 你真的很好 
アナタって、本当に絶倫ですね= 你真的很优秀
アナタと、感じ合いたいです= 我想和你相处
アナタとなら、何度でも気持ち良くなれそうですね= 和你在一起的话，会觉得好一次又一次
アナタとの時間、すごく素敵でした= 和你一起度过的时光很美好
アナタと素敵な時間を過ごしたいです= 我想和你一起度过美好的时光
アナタと続けてできるのは、私も嬉しいです……= 我很高兴能够继续和你一起工作...
アナタに……イカされそうです……= 你要让我做鱿鱼...
アナタに、すっごくイヤらしいところ見せてあげます= 我会给你看一些非常烦人的东西 
アナタにお仕置きされてしまうみたいですね= 看来你要惩罚我
アナタにたくさんかけられてしまいました= 我被你骗了很多
アナタにだけしてもらうなんて……なんだか気が引けますね= 只要求你做...有点吓人
アナタになら、私のお尻、任せられます……= 如果是你，我可以把屁股留给你...
アナタに満足してもらえたなら、嬉しいです= 如果你满意我会很高兴 
アナタに痛めつけられてしまうんですね= 你会伤害我
アナタの……すごく感じてます= 你的……我真的感觉到了
アナタの……熱くて、硬いですね= 你...又热又硬
アナタの……硬くて最高です= 你的......努力和最好的
アナタのおかげで、沢山感じました= 托你的福，我感触良多
アナタのが、中で震えてますぅ……= 你的身体在里面颤抖……
アナタのしたいことを教えてください= 告诉我你想要什么
アナタのもの……しゃぶりつくしてあげます= 你的……我吸你
アナタのもので……胸が熱くなってきます= 是你的...我的心在燃烧
アナタのもので擦られてると……熱くなってきます= 用你的东西擦...它变热了 
アナタの匂いが染みついて……しばらく取れそうにないですね= 你的味道已经根深蒂固了……一时半会儿也洗不掉 
アナタの射精……すごい勢いです……= 你的射精……好厉害的势头……
アナタの射精、かなり弾けてますね……= 你的射精好炸裂...
アナタの射精が、待ち遠しいです= 我等不及你射精了 
アナタの性欲には驚かされました= 我对你的性欲感到惊讶 
アナタの期待に応えてみせます= 我会满足你的期望
アナタの濃厚な精液、沢山かかってます……= 很多你浓稠的精液...
アナタの精液……すごく濃厚ですね= 你的精液……好浓
アナタの精液……垂れてきました= 你的精液……在滴滴
アナタの精液で……体中が熱いです……= 你的精液……我全身都是热的……
アナタの精液で、真っ白に染まってしまいました= 我被你的精液染成了纯白
アナタの精液で、身体が真っ白になりそうです……= 你的精液会把我的身体变成纯白的...
アナタの精液のにおい、濃いですね= 你精液的味道很重 
アナタの精液の匂いが、たっぷり充満していますね= 你精液的味道很浓，是吗？
アナタの精液の味、好きですよ= 我喜欢你精液的味道 
アナタの精液は……いつかけられても熱いんですね……= 你的精液……不管什么时候倒的都是热的……
アナタの腰ぶりで、私、イキそうになってます……= 你的臀部让我觉得我要高潮了...
アナタの興奮が、伝わってきます……= 我能感觉到你的兴奋... 
アナタの舌も、いい感じですよ= 你的舌头也不错
アナタの視線で……たっぷり感じちゃいました= 有你的眼神……我感触良多
アナタの視線で、感じています……= 我可以通过你的眼睛感受到它... 
アナタは……イッてないんですね……= 你……你还没来……
アナタは胸が好きみたいですね= 你好像很喜欢胸 
アナタを、もっと虜にしたいです= 我想让你更着迷
アナタをゆっくり感じられて、気持ちいいです……= 能慢慢感受你的感觉真好...
アナタを受け入れる準備は、出来てますから= 我准备接受你
イキしょうなんれしゅかっ、がぁんしらいれくらはいねぇっ\n（イキそうなんですか、我慢しないで下さいね）= 对不起，我不知道我有多抱歉\n
イキそうです……私、また……イッちゃいそうです= 看来要走了。。。我又要去了。。
イキそうです……私、もうイキそうですからぁ= 我还活着……我已经活着
イキそうですっ、このまま、いかせて下さいっ= 好像还活着，请放过我吧
イクつもりはなかったんですが……もう、ダメそうです……= 我不是故意要射的，但是……看起来我不能……
イッたのは……私だけなんですね……ごめんなさい= 我是唯一得到它的人......对不起
イッちゃいましたが……すごく、疲れました……= 我明白了，但是......我好累...... 
イッちゃいましたけど……アナタは、イッてないんですか？= 我达到了高潮，但是……你没有达到高潮吗？
イッちゃってもいいですよ、またご奉仕しますから= 射没关系，我再服侍你
オナニーで……イッちゃいました= 随着手淫......我得到了极致
オナニーをして、スッキリしたいです……= 我想手淫，感觉精神焕发……
キス……してくれるんですね= 吻我……你要吻我
ジンジンする痛みで……身体中が熱かったです= 好痛啊。。。全身发热
ダメです……お二人に、イカされてしまいます……= 不行。。。你们两个会让我高潮的。。。
ダメです……そんなに見られたら、体が熱くなって……= 可不行……你这样看我，我的身体会发热的……
ダメです……私、痛いのに……いっちゃいそうです……= 我做不到...我很痛苦...我不这么认为... 
ダメなのに……感じちゃってますぅ= 虽然不好看。。。我觉得 
トロトロの精液が、かけられちゃってます= Toro Toro 的精液倒了 
ハラハラドキドキで……変になってしまいそうでした……= 我好紧张……会很奇怪的……
バレて、しまいます……= 我会找出来收起来的...
バレていないことを……祈る事しかできません……= 只能祈祷没被发现...
バレても……私の所為じゃないですよ……= 就算你发现了……也不是我的错……
バレないように、お願いします= 请不要发现 
バレないように気をつける分……疲れて来た気がします……= 我觉得我已经厌倦了小心翼翼地不去发现... 
一先ず、ゆっくりしますから……= 首先，我会放轻松... 
一応、楽しみでもあるんですよ= 以防万一，我很期待
一思いに……お願いします= 总而言之...请
一緒でしたね……良かったです= 我们在一起……真好 
一緒に、楽しみましょうね= 一起开心 
一緒に、気持ちのいい声を出しましょう= 一起发出悦耳的声音吧
一緒に、気持ち良くなりましょう= 让我们一起感觉更好
一緒に、気持ち良くなれましたね= 在一起，感觉很好
一緒にいくと、感じすぎちゃいますね= 和你一起去的时候，感觉太多了
一緒にいくのって……気持ちいいですね= 和你一起去的感觉真好 
一緒にいけて……体が喜んでいます= 跟我来...我的身体很开心
一緒にいけましたね……本当に気持ち良かったです= 我和你一起去了...真的很不错 
一緒にいけると、一体感がすごいですね……= 一起去的时候，团结感好棒……
一緒にいけるなんて……嬉しいです= 很高兴能和你一起去 
一緒にご奉仕続けますから= 我会继续为你服务
一緒にイけて良かったです……やっぱり分かち合った方が嬉しいですから……= 我很高兴我们能够一起做...因为分享更好...
一緒にイケましたし……これで、終わりですか……？= 我们一起度过了愉快的时光……就这样结束了吗……？
一緒にイケましたね……最高です= 我们一起度过了愉快的时光......这是最好的
一緒に感じ合いましょうね= 一起来感受吧
一緒に楽しみましょう= 一起开心 
一緒に気持ち良くなれて、良かったです= 能在一起感觉很舒服真好
一緒に盛り上がりましょう= 一起来玩吧
一緒のご奉仕、頑張りましたよ= 我尽力为你服务 
上手くできなくても……勘弁して下さいね？= 就算做不好……也请原谅我好吗？
上手に続けられる自信はありませんが……= 我不确定我能否继续做好，但是... 
下半身が……溢れてきた精液だらけです= 我的下半身充满了溢出的精液
中、いっぱいです……= 满了...
中で、すごく…振動してますっ、はぉっ、変になりそうですぅっ= 在里面，它真的……在震动。
中で、脈打って……射精してるんですね……= 里面，它在跳动……你在射精……
乳首……優しくされて気持ちいいです= 乳头...被善待的感觉真好
乳首……敏感ですから、それぐらいが嬉しいです= 乳头...它们很敏感，所以我很高兴 
乳首、敏感だからぁ、はぁっ、優しいのがいいですぅっ= 乳头很敏感，温柔点就好了
二人からのご奉仕、堪能して下さい= 请享受两位的服务
二人がかりで、いかされちゃいました……= 我们两个人才充分利用它... 
二人がかりですから……何度もいかされてしまいますね= 因为需要两个人...我会习惯很多次
二人そろっていかされるなんて……本当にすごいです= 看到他们两个在一起真的很神奇。
二人でのご奉仕、気にいってもらえましたか？= 你喜欢我们两个的服务吗？
二人でもっと、気持ち良くなりたいです= 我想让我们两个都感觉好一点
二人で尽くしますね= 我们两个会努力的
二人とも感じてもらえて嬉しいです= 我很高兴你们都能感受到它 
二人の射精……迫力がありましたね= 两个人的射精……好厉害
二人分の射精、感じるだけで興奮します= 两个人的射精，光是感觉就兴奋
今にも、イッちゃいそうです……= 好像随时要高潮似的...
今の……良かったと思います= 现在...我觉得还不错
今のは……かなり、危なかったかもしれません……= 刚才……可能已经很危险了……
今のは、ちょっと……危なかったです……= 那有点……危险……
仲間に入れてもらえて嬉しいです= 我很高兴有你加入我 
何から始めるか、少し悩みます= 我对从哪里开始有点困惑 
何か考え事ですか？　出来れば、私との時間に集中してほしいですね……= 你有什么想法吗？如果可能的话，我希望你能专注于你和我在一起的时间...
何だか、幸福な気分です……一緒にいけるのっていいですね= 不知怎的，我觉得很幸福……在一起真好
何だか、激しい方が反応がいいような気がしますっ= 不知怎么的，我觉得反应越强烈越好
何も、しないんですか？= 你什么都不做吗？
何度だって、ご奉仕しますよ= 不管多少次我都会为你服务
何度も一緒にいけるなんて……私たちの息はピッタリですね= 能一起走多少次...我们的气息很完美
何度も一緒にイケるのって、素敵ですね……= 一次又一次在一起很酷... 
何度も出したのに、アナタはまだまだ元気そうですね= 发了很多次了，你好像还是精神不错
何度も感じてしまうなんて、すごいですね= 你能感受到多少次真是太神奇了 
何度も気持ち良くなれるなんて、最高ですね= 能够一次又一次地感觉良好真是太好了
何度も絶頂するほど、気持ち良かったです= 高潮了那么多次的感觉真好 
優しいのが……いい感じです……= 善良是一种很好的感觉... 
優しい動き……いいですよ= 轻柔的动作……很好
優しくお願いします= 请善待
優しくお願いしますね= 请善待
優しくされて……すごく、感じてます= 被善待……真有感觉
優しく揉まれて……気持ちいいです= 被轻轻揉搓……感觉真好
全て出しきりましたか？= 你都做了吗？
全員そろっていけるなんて、素敵ですね= 大家能在一起真好 
全員で、気持ち良くなりましょうね= 让我们都感觉更好
全員同時にいけるなんて素敵ですね= 大家可以同时去真好
全部、飲み込みましたよ= 我全吞了 
全部は、飲み切れないかと思いました……= 我以为我无法完成所有... 
全部飲みました……何とも言えない味ですね= 我都喝光了。。。味道难以形容
出したものを見たがるなんて、変わってますね= 很奇怪想看看你放出来的东西
出した分は、全部飲みましたよ……= 我喝了所有供应的...... 
出し切ったんですか……？　それとも、まだ……ですか？= 你用完了吗...？还是你还在……？
分かりました、いいですよ= 好吧好吧
前からも後ろからも、沢山垂れてきました= 前后都有很多下垂
力加減が……難しいですね= 很难调整力量...
勢いよく射精してくれて、私も嬉しいです= 我很高兴你能大力射精 
口の中が……アナタの香りでいっぱいです……= 我的嘴里充满了你的味道...
